user_id,item_id,rating,timestamp,user_idx,item_idx,implicit_feedback,engagement
259,255,4,1997-09-20 03:05:10,101,177,1,0.8
259,286,4,1997-09-20 03:05:27,101,289,1,0.8
259,298,4,1997-09-20 03:05:54,101,153,1,0.8
259,185,4,1997-09-20 03:06:21,101,361,1,0.8
259,173,4,1997-09-20 03:07:23,101,321,1,0.8
259,108,4,1997-09-20 03:08:02,101,1006,1,0.8
259,772,4,1997-09-20 03:08:02,101,732,1,0.8
259,288,3,1997-09-20 03:08:25,101,60,0,0.6
259,928,4,1997-09-20 03:08:57,101,971,1,0.8
259,117,4,1997-09-20 03:09:48,101,140,1,0.8
259,200,4,1997-09-20 03:11:21,101,113,1,0.8
259,405,3,1997-09-20 03:12:00,101,136,0,0.6
259,1074,3,1997-09-20 03:14:24,101,1054,0,0.6
259,176,4,1997-09-20 03:16:26,101,311,1,0.8
259,357,5,1997-09-20 03:18:05,101,240,1,1.0
259,210,4,1997-09-20 03:18:05,101,347,1,0.8
851,687,2,1997-09-20 04:02:48,845,731,0,0.4
851,696,3,1997-09-20 04:05:38,845,490,0,0.6
851,284,3,1997-09-20 04:05:38,845,406,0,0.6
851,295,5,1997-09-20 04:06:10,845,446,1,1.0
851,473,4,1997-09-20 04:06:36,845,781,1,0.8
851,544,4,1997-09-20 04:06:36,845,855,1,0.8
851,290,4,1997-09-20 04:07:10,845,707,1,0.8
851,147,4,1997-09-20 04:07:41,845,452,1,0.8
851,121,4,1997-09-20 04:09:25,845,403,1,0.8
851,717,3,1997-09-20 04:09:58,845,416,0,0.6
712,220,5,1997-09-20 04:28:02,705,176,1,1.0
712,1040,4,1997-09-20 04:28:02,705,1136,1,0.8
712,510,2,1997-09-20 04:29:09,705,618,0,0.4
712,50,4,1997-09-20 04:29:10,705,357,1,0.8
712,731,5,1997-09-20 04:29:10,705,308,1,1.0
712,417,4,1997-09-20 04:29:10,705,424,1,0.8
712,623,4,1997-09-20 04:29:38,705,212,1,0.8
712,385,5,1997-09-20 04:29:38,705,114,1,1.0
