item_id,title,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,item_idx,popularity
1,Toy Story (1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,452
2,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147,131
3,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,233,90
4,Get Shorty (1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,47,209
5,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,75,86
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1059,26
7,Twelve Monkeys (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,209,392
8,Babe (1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,389,219
9,Dead Man Walking (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,502,299
10,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,188,89
11,Seven (Se7en) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,229,236
12,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,297,267
13,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,432,184
14,"Postino, Il (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,133,183
15,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,293
16,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39,39
17,From Dusk Till Dawn (1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,324,92
18,"White Balloon, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1233,10
19,Antonia's Line (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1069,69
20,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,59,72
21,Muppet Treasure Island (1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,106,84
22,Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,408,297
23,Taxi Driver (1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,94,182
24,Rumble in the Bronx (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,613,174
25,"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,293
26,"Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,73
27,Bad Boys (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,57
28,Apollo 13 (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,471,276
29,Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,114
30,Belle de jour (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,908,37
31,Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,864,154
32,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,81
33,Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,249,97
34,"Doom Generation, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,775,7
35,Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1279,11
36,Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,724,13
37,Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,927,8
38,"Net, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,543,120
39,Strange Days (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,462,87
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57
41,Billy Madison (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,953,37
42,Clerks (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,734,148
43,Disclosure (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,615,40
44,Dolores Claiborne (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,469,79
45,Eat Drink Man Woman (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,942,80
46,Exotica (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1211,27
47,Ed Wood (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,337,133
48,Hoop Dreams (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170,117
